Functional 	s6 	a1 	s8 	a2
B1B95 1.000 	0.2092 	1.4507 	5.5545
B2GPPLYP 0.560 	0.0000 	0.2597 	6.3332
B3PW91 1.000 	0.4312 	2.8524 	4.4693
BHLYP 1.000 	0.2793 	1.0354 	4.9615
BMK 1.000 	0.1940 	2.0860 	5.9197
BOP 1.000 	0.4870 	3.295 	3.5043
BPBE 1.000 	0.4567 	4.0728 	4.3908
CAMB3LYP 1.000 	0.3708 	2.0674 	5.4743
LCwPBE 1.000 	0.3919 	1.8541 	5.0897
MPW1B95 1.000 	0.1955 	1.0508 	6.4177
MPWB1K 1.000 	0.1474 	0.9499 	6.6223
mPWLYP 1.000 	0.4831 	2.0077 	4.5323
OLYP 1.000 	0.5299 	2.6205 	2.8065
OPBE 1.000 	0.5512 	3.3816 	2.9444
oTPSS 1.000 	0.4634 	2.7495 	4.3153
PBE38 1.000 	0.3995 	1.4623 	5.1405
PBEsol 1.000 	0.4466 	2.9491 	6.1742
PTPSS 0.750 	0.000 	0.2804 	6.5745
PWB6K 1.000 	0.1805 	0.9383 	7.7627
revSSB 1.000 	0.4720 	0.4389 	4.0986
SSB 1.000 	-0.0952 	-0.1744 	5.2170
TPSSh 1.000 	0.4529 	2.2382 	4.6550
HCTH120 1.000 	0.3563 	1.0821 	4.3359
B2PLYP 0.640 	0.3065 	0.9147 	5.0570
B3LYP 1.000 	0.3981 	1.9889 	4.4211
B97D 1.000 	0.5545 	2.2609 	3.2297
BLYP 1.000 	0.4298 	2.6996 	4.2359
BP86 1.000 	0.3946 	3.2822 	4.8516
DSDBLYP 0.500 	0.000 	0.2130 	6.0519
PBE0 1.000 	0.4145 	1.2177 	4.8593
PBE 1.000 	0.4289 	0.7875 	4.4407
PW6B95 1.000 	0.2076 	0.7257 	6.3750
PWPB95 0.820 	0.0000 	0.2904 	7.3141
revPBE0 1.000 	0.4679 	1.7588 	3.7619
revPBE38 1.000 	0.4309 	1.4760 	3.9446
revPBE 1.000 	0.5238 	2.3550 	3.5016
rPW86PBE 1.000 	0.4613 	1.3845 	4.5062
TPSS0 1.000 	0.3768 	1.2576 	4.5865
TPSS 1.000 	0.4535 	1.9435 	4.4752
